,ORF,Ribo_Prints,RNA_Prints
512,YBR237W,18.19184822,39.89103868
513,YBR238C,81.24774584,32.42509292
514,YBR239C,53.86265656,12.79523882
515,YBR240C,0.0,3.759133357
516,YBR241C,48.64895702,17.33506282
517,YBR242W,9.953698737,92.21673168
518,YBR243C,13.24573496,49.08641174
519,YBR244W,14.59468711,10.40103769
520,YBR245C,166.31485469999998,61.51339372
521,YBR246W,73.5752783,21.84754052
522,YBR247C,115.5060929,10.50848643
523,YBR248C,120.45235430000001,30.65766987
524,YBR249C,407.1760347,397.5663491
525,YBR250W,0.0,0.0
526,YBR251W,30.89524673,33.02667164
527,YBR252W,32.14775673,34.36559076
528,YBR253W,0.0,111.17174720000001
529,YBR254C,0.0,9.632779227999999
530,YBR255C-A,49.15152889,14.01131524
531,YBR255W,5.134389924,14.63628038
532,YBR256C,134.374933,198.6206529
533,YBR257W,21.24048213,18.164669399999998
534,YBR258C,33.27180417,23.71145656
535,YBR259W,17.26367198,4.921245701
536,YBR260C,64.19911839,17.79247977
537,YBR261C,35.73506006,80.03888663
538,YBR262C,44.46605604,253.513143
539,YBR263W,225.29619330000003,183.0031866
540,YBR264C,5.947334996,0.0
541,YBR265W,81.52110274,158.4457144
542,YBR266C,0.0,0.0
543,YBR267W,138.8717816,4.302967371
544,YBR268W,11.22138678,15.99404853
545,YBR269C,8.55731654,12.19690032
546,YBR270C,28.32064284,3.1050716919999997
547,YBR271W,45.31302854,20.182966
548,YBR272C,19.78323491,35.24675975
549,YBR273C,97.98812807,73.71170192
550,YBR274W,40.55001133,16.05463205
551,YBR275C,20.47595773,6.190706316
552,YBR276C,35.33070294,10.49114569
553,YBR277C,17.75323879,0.0
554,YBR278W,27.97013983,16.78583311
555,YBR279W,104.01168829999999,57.01914162
556,YBR280C,7.457473349,18.60122885
557,YBR281C,29.770505100000005,50.14743771
558,YBR282W,8.091612239,23.06624686
559,YBR283C,239.8314316,283.1370057
560,YBR284W,0.0,0.0
561,YBR285W,0.0,0.0
562,YBR286W,548.3044903,478.98905189999994
563,YBR287W,141.73555359999997,110.9120001
564,YBR288C,58.98183467,21.01697286
565,YBR289W,20.15771888,16.84141534
566,YBR290W,144.0658788,68.44658035
567,YBR291C,19.82444999,16.95369144
568,YBR292C,0.0,0.0
569,YBR293W,5.008282101,0.0
570,YBR294W,2.766202323,0.0
571,YBR295W,48.86881673,13.93072427
572,YBR296C,74.47097734,26.53621269
573,YBR296C-A,0.0,0.0
574,YBR297W,20.28941576,3.614859582
575,YBR298C,83.1659853,16.54018677
576,YBR298C-A,0.0,0.0
577,YBR299W,104.03600250000001,43.47100369
578,YBR300C,0.0,0.0
579,YBR301W,11.03178759,0.0
580,YBR302C,69.75448858,31.00740935
581,YCL001W,25.17390474,71.76165689
582,YCL001W-A,0.0,0.0
583,YCL001W-B,0.0,0.0
584,YCL002C,22.52778407,25.68741127
585,YCL004W,4.557344823999999,32.47833609
586,YCL005W,18.51310504,13.19353419
587,YCL005W-A,32.14775673,412.3870891
588,YCL007C,0.0,0.0
589,YCL008C,126.3423496,48.31362846
590,YCL009C,2962.156527,727.3680521000001
591,YCL010C,100.64720759999999,143.4543122
592,YCL011C,183.4224812,83.18400006
593,YCL012C,35.24346664,0.0
594,YCL014W,27.61132924,13.46353016
595,YCL016C,28.09764565,0.0
596,YCL017C,109.87044569999999,64.68275851
597,YCL018W,52.14101914,23.22423485
598,YCL019W,107.637101,221.70810699999998
599,YCL020W,26.26497704,196.16632280000002
600,YCL021W-A,0.0,0.0
601,YCL022C,0.0,0.0
602,YCL023C,0.0,0.0
603,YCL024W,21.77251732,27.76616132
604,YCL025C,186.6750259,189.8599515
605,YCL026C-A,0.0,0.0
606,YCL026C-B,18.39381957,17.47803241
607,YCL027W,0.0,3.3048131460000003
608,YCL028W,87.89165018,33.40628855
609,YCL029C,24.27483672,11.53312343
610,YCL030C,431.1817872,845.5653606000001
611,YCL031C,47.89799996,51.20242381
612,YCL032W,143.9700691,48.8579004
613,YCL033C,28.15306507,100.3177008
614,YCL034W,87.11589289,85.96237914
615,YCL035C,128.5910269,549.8494521000001
616,YCL036W,54.54346028,11.96027615
617,YCL037C,557.8190065,113.02460959999999
618,YCL038C,47.21891679,48.07284908
619,YCL039W,68.56177073,45.45225587
620,YCL040W,397.6760925,595.5787811
621,YCL041C,21.62667271,66.78726931
622,YCL042W,79.29779994,261.3694097
623,YCL043C,655.0028599,931.9667857000001
624,YCL044C,34.14737796,36.50316339
625,YCL045C,39.07578841,49.01198577
626,YCL046W,0.0,0.0
627,YCL047C,13.77761003,32.72913406
628,YCL048W,0.0,0.0
629,YCL048W-A,0.0,0.0
630,YCL049C,111.0506996,140.8293858
631,YCL050C,173.6178539,284.3165645
632,YCL051W,28.51461984,34.83635228
633,YCL052C,49.44227334,36.59070095
634,YCL054W,91.82346193,32.21604074
635,YCL055W,28.32064284,10.091483
636,YCL056C,8.203220683,0.0
637,YCL057C-A,84.96192851,17.29968514
638,YCL057W,145.1383295,121.2676386
639,YCL058C,0.0,0.0
640,YCL058W-A,31.30176313,208.20322819999998
641,YCL059C,52.53166558,37.43717353
642,YCL061C,20.60152505,32.45465089
643,YCL063W,44.88554714,39.98512132
644,YCL064C,164.7461218,93.92626837
645,YCL065W,5.8022780439999995,0.0
646,YCL066W,12.1650034,4.816389613999999
647,YCL067C,26.30732699,26.11350577
648,YCL068C,6.836017236,6.4956672189999995
649,YCL069W,3.8871470560000003,0.0
650,YCL073C,2.8964293810000004,1.3761113180000002
651,YCL076W,0.0,0.0
652,YCR001W,0.0,0.0
653,YCR002C,106.79425069999999,83.98113407
654,YCR003W,135.7543858,46.069813700000005
655,YCR004C,143.88713700000002,75.19782494
656,YCR005C,995.9528452,481.76433380000003
657,YCR006C,0.0,0.0
658,YCR007C,0.0,0.0
659,YCR008W,60.06414482,39.29663579
660,YCR009C,156.50881569999999,146.59206880000002
661,YCR010C,0.0,0.0
662,YCR011C,78.16497423,67.81476576
663,YCR012W,6255.398391,9054.165669
664,YCR013C,0.0,0.0
665,YCR014C,16.32201714,37.80411470000001
666,YCR015C,18.70231131,26.65674755
667,YCR016W,24.52509277,40.78207563
668,YCR017C,115.95433009999999,87.07870866
669,YCR018C,48.2216351,45.82078768
670,YCR018C-A,0.0,9.242154567
671,YCR019W,13.07106592,4.657607539
672,YCR020C,5.506791663,0.0
673,YCR020C-A,13.36479774,133.3436405
674,YCR020W-B,15.05654429,42.92073782
675,YCR021C,64.29551347,96.73277398
676,YCR022C,0.0,0.0
677,YCR023C,31.09717645,44.32337632
678,YCR024C,33.77796752,44.70547439
679,YCR024C-A,667.2619751,1323.214942
680,YCR024C-B,267.2959549,666.7182027000001
681,YCR025C,0.0,0.0
682,YCR026C,51.22872674,29.66325555
683,YCR027C,118.94669990000001,16.1463728
684,YCR028C,39.41703506,13.21925259
685,YCR028C-A,26.23824263,361.51253810000003
686,YCR030C,50.52844887,62.28681126
687,YCR031C,610.9535041,1399.846503
688,YCR032W,37.30800551,5.473977864
689,YCR033W,88.21637891,33.16125465
690,YCR034W,88.86822407,73.07625621
691,YCR035C,48.18094174,94.42562321
692,YCR036W,56.98045505,55.83551073
693,YCR037C,30.89524673,22.01778109
694,YCR038C,13.87403187,10.54661987
695,YCR038W-A,0.0,0.0
696,YCR039C,26.30732699,26.11350577
697,YCR040W,12.1650034,4.816389613999999
698,YCR041W,6.429551347,0.0
