Genes	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3	WT_1	WT_2	WT_3
YBR225W	248	425	370	235	330	174	239	335	168
YBR227C	309	628	480	240	355	237	344	391	237
YBR228W	81	107	86	58	89	36	66	86	57
YBR229C	577	965	845	532	786	525	541	856	431
YBR230C	546	978	940	454	762	584	514	753	485
YBR230W-A	27	89	72	60	63	36	50	61	37
YBR231C	229	441	399	166	274	232	243	300	211
YBR233W	151	381	304	141	244	157	189	251	170
YBR233W-A	59	107	82	83	96	61	94	103	65
YBR234C	556	1059	873	509	833	643	611	856	528
YBR235W	362	703	619	354	501	370	419	596	367
YBR236C	412	760	632	317	522	392	445	560	259
YBR237W	210	326	344	181	276	189	265	372	167
YBR238C	260	453	382	189	236	187	310	319	188
YBR239C	117	203	166	99	136	69	117	155	68
YBR240C	46	47	32	28	35	37	20	50	33
YBR241C	203	316	272	185	233	164	204	160	156
YBR242W	206	326	379	134	216	179	295	270	198
YBR243C	612	880	838	491	676	442	617	713	440
YBR244W	78	80	62	54	92	63	104	125	70
YBR245C	1364	2232	1942	1024	1481	1173	1289	1460	1019
YBR246W	323	521	436	332	301	289	309	341	240
YBR247C	515	1021	771	386	573	447	494	561	457
YBR248C	1667	3068	2469	1416	1798	1347	1575	2137	1193
YBR249C	2237	4501	4004	2218	3231	2386	2385	3113	1785
YBR250W	5	8	21	2	2	4	13	14	8
YBR251W	367	694	558	461	482	358	346	495	333
YBR252W	437	920	714	418	611	452	464	625	452
YBR253W	178	385	302	149	279	142	241	391	218
YBR254C	198	367	275	150	268	144	172	182	110
YBR255C-A	184	333	240	135	208	164	149	168	141
YBR255W	156	299	225	105	228	168	144	254	141
YBR256C	816	1362	1191	727	1111	868	762	851	517
YBR257W	134	217	159	121	158	91	135	196	101
YBR258C	51	70	83	39	57	55	53	59	66
YBR259W	106	176	176	102	139	97	100	134	84
YBR260C	514	642	732	412	544	362	484	533	395
YBR261C	672	1271	1028	676	876	603	815	1057	705
YBR262C	652	1165	895	683	844	584	623	893	619
YBR263W	2231	4463	3258	2145	2862	2083	2908	3186	1834
YBR264C	96	180	184	122	132	121	158	145	88
YBR265W	300	542	597	250	384	312	345	374	279
YBR267W	385	556	555	280	382	284	433	405	315
YBR268W	308	746	591	321	395	351	376	403	269
YBR269C	183	328	243	176	245	171	192	227	190
YBR270C	65	90	103	65	57	61	70	104	60
YBR271W	313	429	399	257	320	231	301	386	237
YBR272C	306	548	446	260	429	256	360	446	229
YBR273C	388	698	722	402	535	346	516	770	395
YBR274W	177	419	327	199	315	194	249	294	210
YBR275C	690	1277	1133	518	884	622	703	925	597
YBR276C	535	979	835	485	643	491	684	873	600
YBR278W	71	181	177	99	119	71	95	147	90
YBR279W	485	937	911	431	715	467	562	683	410
YBR280C	177	324	299	160	198	116	169	184	143
YBR281C	551	1265	1032	528	745	506	636	785	523
YBR282W	253	546	360	220	382	263	367	390	256
YBR283C	1685	3424	2618	1752	1967	1519	1774	2135	1442
YBR284W	61	152	88	60	99	60	86	114	76
YBR285W	10	3	8	7	8	14	22	16	6
YBR286W	2450	4374	3777	2083	2873	1859	2245	2635	1817
YBR287W	636	1195	979	703	891	689	878	1056	604
YBR288C	508	875	766	416	599	401	469	570	365
YBR289W	399	778	642	341	560	328	451	602	332
YBR290W	231	411	365	187	267	225	217	321	183
YBR291C	897	1794	1378	833	1192	991	1165	1149	723
YBR293W	105	141	152	95	178	104	103	154	112
