,ORF,WT_glycerol_RNA,WT_glycerol_Ribo
763,YDR067C,1911.0,561.0
764,YMR056C,2278.0,572.0
765,YJL044C,492.0,434.0
766,YPR164W,534.0,484.0
767,YEL060C,2173.0,16770.0
768,YHR195W,558.0,391.0
769,YML026C,11382.0,6997.0
770,YPR066W,151.0,177.0
771,YDR229W,1158.0,906.0
772,YDL181W,8529.0,12850.0
773,YBR022W,2017.0,796.0
774,YER177W,17262.0,21505.0
775,YML048W,1213.0,2752.0
776,YBL064C,12548.0,14336.0
777,YHR006W,1458.0,2185.0
778,YKL221W,25.0,14.0
779,YGL126W,824.0,314.0
780,YLR167W,87023.0,25247.0
781,YMR270C,783.0,235.0
782,YLR293C,6155.0,7593.0
783,YLR228C,428.0,673.0
784,YJR053W,64.0,271.0
785,YJL171C,238.0,1184.0
786,YPL031C,2365.0,2095.0
787,YKL021C,1178.0,976.0
788,YDL167C,895.0,451.0
789,YLR388W,15155.0,2713.0
790,YLR373C,356.0,907.0
791,YKR001C,2102.0,8261.0
792,YKR054C,631.0,351.0
793,YIR034C,214.0,1434.0
794,YGL013C,1179.0,1628.0
795,YMR070W,2088.0,1719.0
796,YGR207C,3390.0,3908.0
797,YDR212W,2379.0,4828.0
798,YDR321W,801.0,615.0
799,YLR456W,1457.0,252.0
800,YNL052W,5894.0,27061.0
801,YDR514C,837.0,576.0
802,YNL025C,201.0,165.0
803,YGR121W-A,38.0,2.0
804,YGR091W,943.0,532.0
805,YDL232W,206.0,128.0
806,YPL119C,80.0,911.0
807,YLR242C,932.0,165.0
808,YJR148W,15964.0,22330.0
809,YMR195W,1085.0,221.0
810,YOL087C,1018.0,1250.0
811,YNL134C,1974.0,2059.0
812,YAL037W,211.0,56.0
813,YGL146C,232.0,1001.0
814,YCR051W,2329.0,1523.0
815,YBR262C,13230.0,2464.0
