ORF,WT_Ribo,ncs2_Ribo,uba4_Ribo,ncs2_RNA,uba4_RNA,WT_RNA
YBR261C,383,320,433,2971,2155,2577
YBR262C,180,157,245,2712,2111,2135
YBR263W,1472,1387,1734,9952,7090,7928
YBR264C,65,57,70,460,375,391
YBR265W,181,166,221,1439,946,998
YBR267W,181,227,283,1496,946,1153
YBR268W,95,125,166,1645,1067,1048
YBR269C,63,51,88,754,592,609
YBR270C,7,2,9,258,183,234
YBR271W,93,95,125,1141,808,924
YBR272C,153,117,149,1300,945,1035
YBR273C,310,201,315,1808,1283,1681
YBR274W,66,64,85,923,708,753
YBR275C,159,125,178,3100,2024,2225
YBR276C,70,57,69,2349,1619,2157
YBR278W,33,55,64,429,289,332
YBR279W,307,215,363,2333,1613,1655
YBR280C,66,65,98,800,474,496
YBR281C,284,288,315,2848,1779,1944
YBR282W,148,105,173,1159,865,1013
YBR283C,1170,1233,1532,7727,5238,5351
YBR284W,20,35,37,301,219,276
YBR285W,13,3,14,21,29,44
YBR286W,1463,1430,1977,10601,6815,6697
YBR287W,283,193,326,2810,2283,2538
YBR288C,214,216,288,2149,1416,1404
YBR289W,203,159,218,1819,1229,1385
YBR290W,78,68,108,1007,679,721
YBR291C,471,495,707,4069,3016,3037
YBR293W,25,12,26,398,377,369
YBR294W,3141,2164,2980,23343,16004,22455
YBR295W,24,7,31,1033,728,676
YBR296C,816,220,396,1723,1150,4183
YBR296C-A,0,0,0,17,1,13
YBR297W,134,173,241,1740,1553,1226
YBR298C,2,7,3,1497,1356,1350
YBR298C-A,0,0,0,20,8,23
YBR299W,448,387,581,2832,2520,2422
YBR301W,1,0,1,5,8,6
YBR302C,197,211,267,1619,1221,1225
YCL001W,128,138,163,1043,645,640
YCL001W-A,0,0,0,18,6,9
YCL001W-B,0,0,0,14,1,5
YCL002C,12,12,19,522,408,352
YCL004W,22,30,29,307,264,225
YCL005W,55,46,93,700,499,478
YCL005W-A,356,288,441,1972,1380,1538
YCL008C,116,121,143,3866,2509,2443
YCL009C,1423,1552,2189,19385,13383,12554
YCL010C,87,64,93,2325,1843,1590
YCL011C,271,307,392,5241,3592,3737
YCL012C,17,25,28,251,153,181
YCL014W,277,256,326,4701,2929,3530
YCL016C,114,103,150,678,494,564
YCL017C,613,743,958,5813,4183,3849
YCL018W,2011,1143,1471,6319,4055,6395
YCL021W-A,12,13,7,2447,1754,4466
YCL024W,111,97,106,1475,986,1266
YCL025C,320,369,221,3319,1050,2039
YCL026C-A,1,1,2,42,26,26
YCL026C-B,335,282,505,1000,943,803
YCL027W,10,16,44,213,135,99
YCL028W,567,610,824,3582,2391,2642
YCL029C,91,67,115,803,488,702
YCL030C,4461,5688,7141,33206,21633,19538
YCL031C,168,135,241,1662,1077,1322
YCL032W,91,92,109,969,699,891
YCL033C,95,63,125,852,672,716
YCL034W,368,510,731,3741,2460,2352
YCL035C,297,271,395,1476,1106,1207
YCL036W,63,84,107,1038,709,754
