ORF,RNA_Prints,Ribo_Prints
YNL310C,24927.0,238.0
YBL084C,321.0,194.0
YKR094C,14242.0,5864.0
YDR143C,28134.0,363.0
YDL176W,1640.0,344.0
YBR111C,1607.0,870.0
YPR037C,1908.0,338.0
YKL121W,387.0,249.0
YML036W,601.0,132.0
YPL215W,648.0,400.0
YKR027W,1081.0,543.0
YFL047W,1271.0,710.0
YGR201C,249.0,222.0
YPR122W,1207.0,714.0
YLR380W,2034.0,627.0
YKL034W,1253.0,468.0
YKL061W,185.0,50.0
YJR042W,3974.0,1091.0
YMR281W,350.0,211.0
YNL058C,698.0,325.0
YMR012W,12952.0,2470.0
YER093C,1252.0,393.0
YGR100W,1220.0,577.0
YLR133W,2524.0,275.0
YHR048W,229.0,187.0
YNL023C,1805.0,608.0
YDR349C,1316.0,881.0
YIR011C,664.0,444.0
YOR171C,2031.0,653.0
YDR214W,31656.0,1647.0
YIL126W,3804.0,446.0
YIL106W,920.0,371.0
YLR201C,480.0,194.0
YLR295C,1094.0,272.0
YDL201W,2201.0,451.0
YDR468C,12805.0,234.0
YDR332W,357.0,282.0
YHR168W,724.0,159.0
YOL102C,547.0,266.0
YOR064C,405.0,154.0
YKL017C,755.0,248.0
YPR008W,2793.0,370.0
YNL258C,1516.0,726.0
YOR048C,17460.0,1089.0
YJL147C,504.0,108.0
YFR003C,1667.0,267.0
YNL297C,2474.0,828.0
YLR068W,1728.0,73.0
YOL081W,2024.0,808.0
YIL033C,7485.0,833.0
YOL036W,7134.0,536.0
YGL148W,32607.0,3838.0
YOR002W,1865.0,1381.0
YNR041C,7100.0,399.0
YPL162C,668.0,245.0
YIL048W,2941.0,605.0
YDR189W,3979.0,1101.0
YAL028W,144.0,93.0
YOL056W,1435.0,284.0
YGR116W,15941.0,1656.0
YFR052W,2408.0,1146.0
YMR302C,1510.0,698.0
YBR282W,337.0,144.0
YOR063W,215512.0,46438.0
YDR404C,840.0,306.0
YIL024C,1130.0,46.0
YHR132C,3576.0,968.0
YGR088W,172.0,147.0
YLR103C,966.0,347.0
YBR230W-A,138.0,50.0
YLR188W,2133.0,799.0
YGL073W,1580.0,678.0
YDR194C,2134.0,1016.0
YNL243W,8811.0,2114.0
YPL213W,686.0,129.0
YDR014W,380.0,117.0
YKR074W,2469.0,607.0
YJR108W,27.0,10.0
YIR006C,7507.0,1469.0
YGL259W,2.0,1.0
YIL093C,647.0,247.0
YBR204C,8716.0,201.0
YPR027C,100.0,97.0
YJR115W,84.0,40.0
YDR466W,651.0,386.0
YNL331C,112.0,105.0
YLR397C,4076.0,711.0
YJL210W,1027.0,359.0
YFR045W,298.0,174.0
YPL133C,662.0,298.0
YIL104C,2067.0,288.0
YIL151C,806.0,634.0
YIL002C,804.0,437.0
YMR112C,481.0,123.0
YGL086W,823.0,185.0
YGR159C,34077.0,2780.0
YDL223C,415.0,196.0
YNL265C,600.0,210.0
YAL044C,4133.0,1337.0
YBR213W,753.0,107.0
YNL234W,126.0,110.0
YLR355C,148589.0,9198.0
YJL116C,168.0,62.0
YLR246W,255.0,196.0
YFR032C,243.0,12.0
YNL118C,2561.0,1104.0
YNR030W,1791.0,703.0
YJR119C,997.0,132.0
YNR023W,1047.0,277.0
YOL096C,620.0,172.0
YGL228W,4254.0,998.0
YDR284C,1918.0,673.0
YJR117W,13641.0,1364.0
