Genes	WT_1	WT_2	WT_3	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3
YBR121C	726	918	256	886	611	211	1064	792	578
YBR122C	61	93	38	153	93	15	171	82	111
YBR123C	29	72	12	59	26	13	72	39	34
YBR125C	66	84	20	111	56	9	122	67	49
YBR126C	395	579	163	590	303	129	809	518	391
YBR126W-A	95	167	44	189	67	19	237	111	109
YBR127C	1453	2013	544	2219	1246	499	2598	1826	1278
YBR128C	1	5	1	6	2	2	5	2	2
YBR129C	16	23	7	43	18	3	28	7	15
YBR130C	40	39	9	78	35	7	62	29	39
YBR131W	19	29	2	32	18	5	34	19	11
YBR132C	29	62	8	60	38	2	54	76	40
YBR133C	51	85	30	95	51	17	103	53	60
YBR135W	18	35	14	29	22	10	59	14	22
YBR136W	45	61	18	50	36	15	77	44	29
YBR137W	32	53	12	54	31	11	39	34	31
YBR138C	11	23	5	21	5	4	21	10	6
YBR139W	104	143	38	133	77	36	146	118	86
YBR140C	139	178	58	235	138	42	228	134	120
YBR141C	24	19	4	20	6	3	15	24	10
YBR142W	125	146	47	235	79	41	202	112	106
YBR143C	496	703	197	722	480	138	704	478	387
YBR145W	31	46	6	52	19	15	46	38	30
YBR146W	130	177	49	145	102	20	177	121	84
YBR147W	22	26	7	35	14	9	27	30	22
YBR148W	1	3	1	0	0	0	1	2	0
YBR149W	246	340	85	329	232	77	449	286	224
YBR150C	16	32	9	38	23	7	60	27	20
YBR151W	52	55	22	81	39	15	98	48	60
YBR152W	8	12	0	7	3	1	11	3	7
YBR153W	28	28	11	39	25	11	55	23	23
YBR154C	167	216	59	211	108	43	218	145	132
YBR155W	59	79	25	88	39	13	92	51	46
YBR156C	8	12	3	15	7	2	8	8	4
YBR157C	10	22	5	13	6	1	11	3	2
YBR158W	58	82	27	58	43	16	92	58	42
YBR159W	133	193	51	223	107	25	176	143	101
YBR160W	118	152	43	178	91	32	147	92	65
YBR161W	21	33	7	45	21	6	44	29	25
YBR162C	660	881	266	893	440	144	993	558	470
YBR162W-A	20	15	7	9	8	2	21	18	18
YBR163W	10	12	11	14	8	1	19	10	7
YBR164C	41	61	9	59	44	9	91	53	51
YBR165W	17	24	12	25	10	2	31	31	16
YBR166C	72	122	35	148	78	18	133	85	73
YBR167C	18	10	1	11	4	0	11	6	5
YBR168W	8	34	11	7	10	3	20	15	20
YBR169C	30	54	30	38	20	8	51	24	14
YBR170C	130	156	58	179	96	36	253	139	106
YBR171W	94	115	22	99	75	28	151	85	68
YBR172C	79	103	27	112	58	16	138	93	61
YBR173C	93	110	24	113	38	17	121	82	80
YBR175W	30	38	9	46	22	8	57	49	25
YBR176W	31	65	27	71	30	20	89	61	29
YBR177C	354	528	120	658	359	111	750	397	347
YBR179C	92	157	44	149	81	32	186	115	59
YBR180W	5	5	1	1	4	2	2	1	0
YBR181C	2838	3898	1013	4457	1986	735	4910	2769	2430
YBR182C	17	19	6	5	4	4	11	7	3
YBR182C-A	0	0	0	0	0	0	0	0	0
YBR183W	16	36	7	39	26	4	52	33	29
YBR184W	3	2	0	5	1	0	0	0	0
YBR185C	85	143	44	123	81	50	170	132	60
YBR186W	0	0	0	0	0	0	2	0	0
YBR187W	109	163	54	145	82	37	177	133	120
YBR188C	15	15	9	15	11	6	16	21	15
YBR189W	2938	5518	1219	4898	2060	863	5175	2398	2523
YBR191W	771	1302	232	823	597	174	1088	765	582
YBR192W	95	106	29	105	71	34	135	74	77
YBR193C	42	44	3	26	17	9	39	30	21
YBR194W	16	11	1	21	5	3	15	8	6
YBR195C	74	95	23	190	61	18	189	66	77
YBR196C	2007	2709	764	2856	1417	551	2953	1729	1424
YBR196C-A	28	89	21	74	18	12	65	36	40
YBR196C-B	0	0	0	0	0	0	0	0	0
YBR197C	33	41	1	54	15	9	58	21	44
YBR198C	81	83	37	170	85	27	201	90	100
YBR199W	142	230	57	244	105	46	254	128	98
YBR200W	35	47	15	50	31	5	54	33	28
YBR200W-A	0	0	0	0	0	0	0	0	0
YBR201C-A	0	1	0	0	0	1	0	0	0
YBR201W	9	15	2	15	8	2	15	12	11
YBR202W	120	154	52	192	105	37	186	141	96
YBR203W	36	61	15	35	33	11	45	39	28
YBR204C	31	37	15	34	25	4	49	41	29
YBR205W	130	213	58	120	108	32	146	127	81
YBR207W	121	139	41	182	115	28	172	118	103
YBR208C	30	45	16	105	47	23	117	74	55
YBR210W	10	16	4	11	5	2	19	10	10
YBR211C	24	30	15	30	14	4	66	32	25
YBR212W	78	112	33	136	65	27	136	103	67
YBR213W	105	150	64	170	103	32	160	114	75
YBR214W	27	20	2	40	25	7	47	24	15
YBR215W	13	31	7	47	5	2	36	18	20
YBR216C	14	24	9	27	14	8	26	17	20
YBR217W	0	1	1	1	3	0	4	3	5
YBR218C	1091	1513	440	1919	1074	375	1805	1399	814
YBR219C	11	6	5	3	6	1	15	9	11
YBR220C	33	45	15	35	23	9	68	53	27
YBR221C	386	552	123	524	336	113	760	475	328
YBR221W-A	0	0	0	0	0	0	0	0	0
YBR222C	58	110	29	77	43	24	88	59	54
YBR223C	9	25	6	11	5	1	11	15	11
YBR225W	24	20	14	64	31	9	58	39	26
YBR227C	47	65	21	59	28	17	72	47	30
YBR228W	2	4	0	6	3	1	6	1	5
YBR229C	97	135	37	142	81	30	177	118	96
YBR230C	104	136	49	163	91	37	262	149	144
YBR230W-A	0	10	0	7	5	1	6	3	9
YBR231C	37	32	10	62	24	15	58	35	32
YBR233W	40	40	14	61	41	13	59	48	19
YBR233W-A	5	17	2	14	2	4	15	7	7
YBR234C	114	174	53	169	93	32	179	128	102
YBR235W	36	69	18	61	47	13	63	33	35
