ORF,RNA_Prints
YBR115C,15865.0080488757
YBR147W,756.999761775516
YHR086W,2896.54934997139
YFL003C,442.061548925363
YOL120C,95459.4652862252
YOR125C,3004.04580540215
YML079W,4823.45199653266
YLR065C,6121.41285804264
YPL134C,2455.46408513196
YNL298W,3906.72738005094
YGL225W,17288.4524417872
YER078C,3189.18166178481
YNL122C,2611.23641075093
YNL224C,4162.64217931581
YLR129W,16665.3083940395
YGL066W,3129.05543485063
YNL217W,7009.18137553667
YCL067C,711.448246423392
YGL063W,1442.30557244836
YML030W,3063.52737115501
YPL152W-A,49.3360058292211
YAL039C,3054.54351322504
YOR261C,17748.6882136292
YMR316W,4856.17813204915
YLR191W,3050.29719186106
YCR027C,2314.91641271527
YER125W,11926.9416318505
YDL046W,6557.03983276075
YMR263W,3514.68454137998
YOL113W,3243.11671675046
YDR517W,6621.93847439606
YAL001C,4911.14439979583
YBR197C,1878.56732829368
YJR132W,8877.86207696263
YDR192C,2059.70073357622
YER021W,16977.2286727595
YKL014C,15887.9829659673
YGL034C,25.0480028071664
YGR197C,2766.25131137579
YDL106C,2482.87918138653
YDR365C,13188.4322575115
YNL280C,8777.6033894559
YDR505C,4882.23101654085
YDL154W,1701.85075550911
YCR030C,5143.45395260722
YGL033W,151.582021783419
YMR211W,3214.74311694444
YGL202W,23365.2576219813
YIL176C,38.1927265806054
YBL036C,7193.29270070872
YBR221W-A,7.90573981038835
