ORF,RNA_Prints,Ribo_Prints
YDR297W,1839,293
YDR298C,11721,2202
YDR299W,1347,202
YDR300C,1532,295
YDR301W,1702,172
YDR302W,587,96
YDR303C,1882,183
YDR304C,4048,851
YDR305C,706,180
YDR306C,401,34
YDR307W,857,222
YDR308C,566,98
YDR309C,1467,135
YDR310C,2678,201
YDR311W,519,81
YDR312W,1884,203
YDR313C,732,54
YDR314C,561,9
YDR315C,309,16
YDR316W,1617,231
YDR317W,82,11
YDR318W,243,28
YDR319C,301,20
YDR320C,658,120
YDR320C-A,353,14
YDR321W,2282,472
YDR322C-A,3764,260
YDR322W,1888,295
YDR323C,1293,76
YDR324C,2645,438
YDR325W,1682,181
YDR326C,2443,172
YDR328C,2436,566
YDR329C,1185,160
YDR330W,972,185
YDR331W,1364,227
YDR332W,401,22
YDR333C,1937,156
YDR334W,2709,87
YDR335W,4791,515
YDR336W,476,19
YDR337W,1722,251
YDR338C,723,125
YDR339C,1024,218
YDR341C,5310,1033
YDR342C,96568,21964
YDR343C,95058,21587
YDR345C,21061,5561
YDR346C,4350,697
YDR347W,3804,354
YDR348C,1262,115
YDR349C,1850,158
YDR350C,568,51
YDR351W,1140,103
YDR352W,675,128
YDR353W,4860,1214
YDR354W,1977,440
YDR356W,1468,177
YDR357C,708,11
YDR358W,647,124
YDR359C,1919,96
YDR361C,967,253
YDR362C,716,82
YDR363W,453,11
YDR363W-A,2562,270
YDR364C,688,46
YDR365C,2312,226
YDR366C,601,0
YDR367W,657,98
YDR368W,1094,301
YDR369C,526,73
YDR370C,537,41
YDR371W,678,58
YDR372C,2554,275
YDR373W,1124,122
YDR374C,13,7
YDR374W-A,299,37
YDR375C,1593,275
YDR376W,1247,166
YDR377W,3273,218
YDR378C,850,39
YDR379C-A,64,6
YDR379W,918,77
YDR380W,20,10
YDR381C-A,211,16
YDR381W,3002,549
YDR382W,31353,7195
YDR383C,140,17
YDR384C,806,170
YDR385W,213597,42766
YDR386W,714,35
YDR387C,465,27
YDR388W,4126,585
YDR389W,1530,142
YDR390C,1287,187
YDR391C,201,12
YDR392W,763,84
YDR393W,1535,149
YDR394W,6408,1751
YDR395W,2825,475
YDR397C,1395,214
YDR398W,2355,425
YDR399W,7296,1412
YDR400W,987,131
YDR402C,11,0
YDR403W,120,4
YDR404C,1443,96
YDR405W,2029,434
YDR406W,1999,175
YDR407C,2710,139
YDR408C,3597,715
YDR409W,1038,67
YDR410C,367,50
YDR411C,902,214
YDR412W,1210,144
YDR414C,607,59
YDR415C,802,174
YDR416W,765,90
YDR418W,26559,5452
YDR419W,694,66
YDR420W,2519,97
YDR421W,788,47
YDR422C,1241,115
YDR423C,947,113
YDR424C,735,75
YDR425W,394,32
YDR427W,2997,572
YDR428C,607,58
YDR429C,5269,1037
YDR430C,4919,749
YDR432W,5865,1091
YDR434W,1045,222
YDR435C,822,92
YDR436W,933,92
YDR437W,41,15
YDR438W,244,4
YDR439W,316,22
YDR440W,590,49
YDR441C,1178,104
YDR443C,1952,128
